기간	구분	일반가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	가구원수별 가구수	평균가구원수
기간	구분	일반가구수	1인	2인	3인	4인	5인	6인	7인 이상	평균가구원수
2018	합계	3,839,766	1,229,421	977,469	807,545	637,385	147,231	32,059	8,656	2.4
2018	종로구	63,773	25,326	15,957	11,241	8,286	2,228	573	162	2.2
2018	중구	53,102	20,803	14,101	9,601	6,463	1,591	433	110	2.2
2018	용산구	92,500	34,240	24,574	17,717	12,098	3,019	681	171	2.2
2018	성동구	123,963	40,706	32,135	26,002	19,548	4,273	1,035	264	2.3
2018	광진구	148,735	56,337	35,093	28,596	22,354	4,947	1,079	329	2.3
2018	동대문구	146,974	55,593	35,628	27,612	21,139	5,341	1,321	340	2.3
2018	중랑구	159,444	49,207	42,934	34,055	25,381	6,159	1,353	355	2.4
2018	성북구	171,943	55,136	42,140	36,301	29,176	7,067	1,665	458	2.4
2018	강북구	127,551	40,872	34,781	26,543	19,222	4,748	1,077	308	2.3
2018	도봉구	126,286	30,848	35,343	30,077	23,237	5,292	1,146	343	2.5
2018	노원구	202,326	51,280	51,939	47,672	40,995	8,517	1,542	381	2.6
2018	은평구	181,338	48,888	50,617	40,750	31,086	7,833	1,682	482	2.5
2018	서대문구	127,197	44,795	31,734	25,206	19,423	4,641	1,082	316	2.3
2018	마포구	154,940	56,837	38,861	29,938	22,671	5,233	1,108	292	2.3
2018	양천구	162,039	34,304	40,185	41,534	36,359	7,768	1,502	387	2.7
2018	강서구	235,754	73,011	62,155	50,204	39,017	9,061	1,807	499	2.4
2018	구로구	156,235	44,151	41,836	34,633	27,310	6,479	1,425	401	2.5
2018	금천구	96,298	34,564	24,305	18,948	14,102	3,388	769	222	2.3
2018	영등포구	149,831	53,477	37,774	29,904	22,271	5,038	1,086	281	2.3
2018	동작구	161,495	56,872	39,300	32,597	25,296	5,811	1,277	342	2.3
2018	관악구	236,761	112,733	54,106	35,925	25,997	6,172	1,451	377	2
2018	서초구	155,418	41,137	38,475	35,620	31,029	7,112	1,598	447	2.6
2018	강남구	203,083	62,727	50,076	43,542	36,572	8,063	1,664	439	2.4
2018	송파구	243,547	63,451	61,970	56,824	48,156	10,366	2,235	545	2.5
2018	강동구	159,233	42,126	41,450	36,503	30,197	7,084	1,468	405	2.5