,y,x,ID,스타벅스 매장수,커피빈 매장수,빽다방 매장수,이디야 매장수,커피지수
0,0,7,철원,0.0,0.0,0.0,2.0,0.0
1,0,8,화천,0.0,0.0,0.0,1.0,0.0
2,0,9,양구,0.0,0.0,0.0,1.0,0.0
3,0,10,고성(강원),2.0,0.0,0.0,1.0,2.0
4,1,3,양주,7.0,0.0,0.0,15.0,0.4666666666666667
5,1,4,동두천,4.0,0.0,0.0,2.0,2.0
6,1,5,연천,0.0,1.0,0.0,1.0,1.0
7,1,6,포천,5.0,0.0,1.0,9.0,0.5
8,1,7,의정부,11.0,0.0,4.0,22.0,0.4230769230769231
9,1,8,인제,1.0,0.0,0.0,3.0,0.3333333333333333
10,1,9,춘천,10.0,1.0,4.0,25.0,0.3793103448275862
11,1,10,속초,4.0,0.0,0.0,8.0,0.5
12,2,3,파주,7.0,1.0,8.0,19.0,0.2962962962962963
13,2,4,고양 일산동,16.0,5.0,2.0,14.0,1.3125
14,2,5,서울 도봉,2.0,0.0,0.0,7.0,0.2857142857142857
15,2,6,서울 노원,11.0,3.0,5.0,23.0,0.5
16,2,7,남양주,12.0,1.0,3.0,46.0,0.2653061224489796
17,2,8,홍천,2.0,0.0,1.0,3.0,0.5
18,2,9,횡성,0.0,0.0,0.0,1.0,0.0
19,2,10,양양,0.0,0.0,0.0,2.0,0.0
20,3,3,고양 일산서,16.0,5.0,1.0,11.0,1.75
21,3,4,고양 덕양,19.0,1.0,4.0,19.0,0.8695652173913043
22,3,5,서울 강북,5.0,2.0,1.0,11.0,0.5833333333333334
23,3,6,서울 성북,15.0,4.0,7.0,20.0,0.7037037037037037
24,3,7,가평,0.0,0.0,0.0,6.0,0.0
25,3,8,구리,3.0,1.0,3.0,12.0,0.26666666666666666
26,3,9,하남,10.0,1.0,1.0,17.0,0.6111111111111112
27,3,10,정선,0.0,0.0,0.0,2.0,0.0
28,3,11,강릉,5.0,0.0,2.0,14.0,0.3125
29,4,2,김포,14.0,2.0,8.0,22.0,0.5333333333333333
30,4,3,안양 만안,4.0,1.0,4.0,10.0,0.35714285714285715
31,4,4,광명,11.0,0.0,2.0,9.0,1.0
32,4,5,서울 서대문,22.0,8.0,4.0,12.0,1.875
33,4,6,서울 종로,33.0,15.0,5.0,13.0,2.6666666666666665
34,4,7,서울 동대문,8.0,4.0,3.0,19.0,0.5454545454545454
35,4,8,서울 중랑,7.0,2.0,2.0,13.0,0.6
36,4,9,양평,3.0,0.0,1.0,4.0,0.6
37,4,10,태백,1.0,0.0,0.0,1.0,1.0
38,4,11,동해,1.0,1.0,1.0,1.0,1.0
39,5,1,인천 강화,1.0,0.0,1.0,1.0,0.5
40,5,2,부천,7.0,7.0,9.0,32.0,0.34146341463414637
41,5,3,안양 동안,14.0,2.0,4.0,13.0,0.9411764705882353
42,5,4,서울 은평,11.0,2.0,6.0,17.0,0.5652173913043478
43,5,5,서울 마포,33.0,11.0,5.0,23.0,1.5714285714285714
44,5,6,서울 중구,57.0,15.0,7.0,22.0,2.4827586206896552
45,5,7,서울 성동,9.0,2.0,2.0,15.0,0.6470588235294118
46,5,8,서울 강동,14.0,9.0,6.0,13.0,1.2105263157894737
47,5,9,여주,2.0,1.0,0.0,4.0,0.75
48,5,10,원주,10.0,1.0,5.0,11.0,0.6875
49,5,11,삼척,1.0,0.0,2.0,1.0,0.3333333333333333
50,6,1,인천 서구,8.0,0.0,4.0,27.0,0.25806451612903225
51,6,2,인천 동구,2.0,0.0,0.0,2.0,1.0
52,6,3,시흥,9.0,1.0,8.0,19.0,0.37037037037037035
53,6,4,서울 강서,19.0,6.0,8.0,40.0,0.5208333333333334
54,6,5,서울 동작,11.0,1.0,4.0,10.0,0.8571428571428571
55,6,6,서울 용산,22.0,6.0,4.0,11.0,1.8666666666666667
56,6,7,서울 광진,16.0,5.0,4.0,14.0,1.1666666666666667
57,6,8,서울 송파,34.0,13.0,9.0,28.0,1.2702702702702702
58,6,9,이천,8.0,3.0,1.0,7.0,1.375
59,6,10,평창,2.0,0.0,0.0,2.0,1.0
60,6,11,울진,0.0,1.0,1.0,3.0,0.25
61,7,2,인천 계양,3.0,0.0,6.0,12.0,0.16666666666666666
62,7,3,안산 상록,1.0,0.0,1.0,12.0,0.07692307692307693
63,7,4,서울 양천,12.0,4.0,0.0,14.0,1.1428571428571428
64,7,5,서울 관악,12.0,3.0,4.0,21.0,0.6
65,7,6,서울 서초,48.0,31.0,7.0,18.0,3.16
66,7,7,과천,4.0,0.0,1.0,1.0,2.0
67,7,8,성남 중원,2.0,1.0,3.0,6.0,0.3333333333333333
68,7,9,광주,5.0,0.0,3.0,15.0,0.2777777777777778
69,7,10,영월,0.0,0.0,0.0,0.0,0.0
70,7,11,영덕,1.0,0.0,0.0,2.0,0.5
71,8,2,인천 부평,11.0,2.0,2.0,25.0,0.48148148148148145
72,8,3,안산 단원,4.0,0.0,4.0,23.0,0.14814814814814814
73,8,4,서울 영등포,30.0,13.0,5.0,27.0,1.34375
74,8,5,서울 금천,13.0,2.0,1.0,11.0,1.25
75,8,6,서울 강남,87.0,68.0,12.0,40.0,2.980769230769231
76,8,7,성남 분당,46.0,17.0,12.0,21.0,1.9090909090909092
77,8,8,성남 수정,3.0,1.0,4.0,8.0,0.3333333333333333
78,8,9,용인 수지,10.0,2.0,3.0,18.0,0.5714285714285714
79,8,10,문경,1.0,0.0,0.0,4.0,0.25
80,8,11,봉화,0.0,0.0,0.0,1.0,0.0
81,8,13,울릉,0.0,0.0,0.0,0.0,0.0
82,9,1,인천 중구,5.0,3.0,4.0,13.0,0.47058823529411764
83,9,2,인천 미추홀,8.0,0.0,4.0,12.0,0.5
84,9,3,화성,19.0,5.0,11.0,24.0,0.6857142857142857
85,9,4,서울 구로,12.0,2.0,6.0,18.0,0.5833333333333334
86,9,5,군포,4.0,2.0,7.0,9.0,0.375
87,9,6,의왕,1.0,0.0,1.0,6.0,0.14285714285714285
88,9,7,수원 영통,10.0,4.0,4.0,20.0,0.5833333333333334
89,9,8,용인 기흥,13.0,2.0,7.0,21.0,0.5357142857142857
90,9,9,용인 처인,5.0,0.0,2.0,5.0,0.7142857142857143
91,9,10,안동,5.0,0.0,2.0,8.0,0.5
92,9,11,영양,1.0,0.0,0.0,0.0,1.0
93,10,0,인천 옹진,0.0,0.0,0.0,2.0,0.0
94,10,1,인천 연수,14.0,6.0,7.0,14.0,0.9523809523809523
95,10,2,인천 남동,14.0,1.0,13.0,32.0,0.3333333333333333
96,10,3,오산,6.0,0.0,2.0,8.0,0.6
97,10,4,안성,5.0,0.0,0.0,5.0,1.0
98,10,5,수원 권선,7.0,1.0,2.0,12.0,0.5714285714285714
99,10,6,수원 장안,4.0,2.0,3.0,7.0,0.6
100,10,7,제천,1.0,2.0,0.0,5.0,0.6
101,10,8,예천,0.0,0.0,1.0,0.0,0.0
102,10,9,영주,0.0,0.0,1.0,4.0,0.0
103,10,10,구미,10.0,1.0,6.0,13.0,0.5789473684210527
104,10,11,청송,0.0,0.0,0.0,1.0,0.0
105,10,12,포항 북구,6.0,1.0,2.0,9.0,0.6363636363636364
106,11,0,태안,0.0,0.0,0.0,2.0,0.0
107,11,1,아산,9.0,0.0,4.0,8.0,0.75
108,11,2,천안 동남,6.0,1.0,4.0,5.0,0.7777777777777778
109,11,3,천안 서북,12.0,0.0,6.0,12.0,0.6666666666666666
110,11,4,평택,10.0,1.0,5.0,13.0,0.6111111111111112
111,11,5,음성,2.0,1.0,0.0,3.0,1.0
112,11,6,수원 팔달,13.0,3.0,4.0,11.0,1.0666666666666667
113,11,7,단양,0.0,0.0,0.0,1.0,0.0
114,11,8,상주,0.0,1.0,0.0,2.0,0.5
115,11,9,김천,2.0,0.0,0.0,3.0,0.6666666666666666
116,11,10,군위,0.0,0.0,0.0,0.0,0.0
117,11,11,의성,0.0,0.0,0.0,0.0,0.0
118,11,12,포항 남구,10.0,0.0,1.0,4.0,2.0
119,12,1,당진,4.0,0.0,3.0,6.0,0.4444444444444444
120,12,2,홍성,0.0,0.0,2.0,3.0,0.0
121,12,3,예산,1.0,0.0,0.0,6.0,0.16666666666666666
122,12,4,공주,2.0,0.0,1.0,5.0,0.3333333333333333
123,12,5,진천,1.0,0.0,0.0,4.0,0.25
124,12,6,충주,6.0,0.0,1.0,5.0,1.0
125,12,7,청주 흥덕,10.0,1.0,4.0,14.0,0.6111111111111112
126,12,8,괴산,0.0,0.0,0.0,1.0,0.0
127,12,9,칠곡,1.0,0.0,0.0,5.0,0.2
128,12,10,영천,0.0,0.0,0.0,1.0,0.0
129,12,11,경산,8.0,0.0,3.0,9.0,0.6666666666666666
130,12,12,경주,8.0,2.0,2.0,24.0,0.38461538461538464
131,13,1,서산,4.0,0.0,1.0,6.0,0.5714285714285714
132,13,2,보령,2.0,0.0,1.0,1.0,1.0
133,13,3,청양,1.0,0.0,0.0,0.0,1.0
134,13,4,세종,9.0,1.0,2.0,14.0,0.625
135,13,5,대전 대덕,6.0,0.0,2.0,2.0,1.5
136,13,6,증평,1.0,0.0,0.0,3.0,0.3333333333333333
137,13,7,청주 청원,3.0,0.0,1.0,8.0,0.3333333333333333
138,13,8,보은,1.0,0.0,0.0,2.0,0.5
139,13,9,고령,1.0,0.0,0.0,1.0,1.0
140,13,10,청도,1.0,0.0,0.0,2.0,0.5
141,13,11,성주,0.0,0.0,0.0,1.0,0.0
142,13,12,울산 북구,5.0,0.0,1.0,16.0,0.29411764705882354
143,14,2,부여,0.0,0.0,0.0,2.0,0.0
144,14,3,논산,1.0,0.0,0.0,2.0,0.5
145,14,4,계룡,1.0,0.0,0.0,0.0,1.0
146,14,5,대전 동구,6.0,2.0,4.0,3.0,1.1428571428571428
147,14,6,청주 상당,5.0,1.0,2.0,7.0,0.6666666666666666
148,14,7,청주 서원,4.0,0.0,3.0,6.0,0.4444444444444444
149,14,8,대구 북구,6.0,0.0,3.0,11.0,0.42857142857142855
150,14,9,대구 중구,14.0,3.0,3.0,7.0,1.7
151,14,10,대구 수성,23.0,2.0,2.0,8.0,2.5
152,14,11,울산 울주,1.0,0.0,1.0,11.0,0.08333333333333333
153,14,12,울산 동구,2.0,0.0,1.0,8.0,0.2222222222222222
154,15,2,서천,1.0,0.0,0.0,2.0,0.5
155,15,3,금산,0.0,1.0,0.0,0.0,1.0
156,15,4,대전 유성,11.0,1.0,6.0,11.0,0.7058823529411765
157,15,5,대전 중구,5.0,0.0,7.0,2.0,0.5555555555555556
158,15,6,옥천,0.0,0.0,0.0,1.0,0.0
159,15,7,영동,0.0,0.0,0.0,1.0,0.0
160,15,8,대구 서구,3.0,0.0,0.0,1.0,3.0
161,15,9,대구 남구,4.0,0.0,0.0,6.0,0.6666666666666666
162,15,10,대구 동구,8.0,1.0,2.0,8.0,0.9
163,15,11,울산 중구,7.0,2.0,1.0,14.0,0.6
164,15,12,울산 남구,19.0,2.0,5.0,28.0,0.6363636363636364
165,16,2,군산,3.0,1.0,0.0,9.0,0.4444444444444444
166,16,3,익산,4.0,0.0,1.0,8.0,0.4444444444444444
167,16,4,대전 서구,25.0,2.0,10.0,12.0,1.2272727272727273
168,16,5,무주,0.0,0.0,0.0,1.0,0.0
169,16,6,거창,0.0,0.0,1.0,1.0,0.0
170,16,7,합천,0.0,0.0,0.0,1.0,0.0
171,16,8,대구 달서,21.0,0.0,5.0,12.0,1.2352941176470589
172,16,9,대구 달성,3.0,0.0,3.0,9.0,0.25
173,16,10,부산 금정,6.0,0.0,3.0,9.0,0.5
174,16,11,부산 동래,6.0,0.0,1.0,11.0,0.5
175,16,12,부산 기장,6.0,1.0,0.0,5.0,1.4
176,17,2,부안,1.0,0.0,0.0,4.0,0.25
177,17,3,김제,0.0,0.0,1.0,3.0,0.0
178,17,4,완주,0.0,0.0,0.0,5.0,0.0
179,17,5,장수,0.0,0.0,0.0,0.0,0.0
180,17,6,함양,1.0,0.0,0.0,1.0,1.0
181,17,7,창녕,1.0,0.0,0.0,2.0,0.5
182,17,8,밀양,3.0,0.0,0.0,5.0,0.6
183,17,9,부산 북구,2.0,0.0,3.0,12.0,0.13333333333333333
184,17,10,부산 부산진,21.0,2.0,3.0,18.0,1.0952380952380953
185,17,11,부산 연제,6.0,0.0,0.0,8.0,0.75
186,17,12,부산 해운대,29.0,5.0,2.0,9.0,3.090909090909091
187,18,1,고창,0.0,0.0,0.0,1.0,0.0
188,18,2,정읍,0.0,0.0,1.0,2.0,0.0
189,18,3,전주 덕진,6.0,0.0,2.0,16.0,0.3333333333333333
190,18,4,진안,0.0,0.0,0.0,0.0,0.0
191,18,5,남원,0.0,0.0,0.0,1.0,0.0
192,18,6,진주,7.0,1.0,4.0,19.0,0.34782608695652173
193,18,7,의령,0.0,0.0,0.0,0.0,0.0
194,18,8,부산 강서,2.0,1.0,0.0,7.0,0.42857142857142855
195,18,9,부산 사상,3.0,0.0,0.0,3.0,1.0
196,18,10,부산 동구,6.0,1.0,0.0,4.0,1.75
197,18,11,부산 중구,9.0,2.0,3.0,9.0,0.9166666666666666
198,19,1,영광,0.0,0.0,0.0,3.0,0.0
199,19,2,장성,0.0,0.0,0.0,1.0,0.0
200,19,3,전주 완산,12.0,1.0,3.0,20.0,0.5652173913043478
201,19,4,임실,1.0,0.0,0.0,1.0,1.0
202,19,5,산청,1.0,0.0,0.0,1.0,1.0
203,19,6,함안,0.0,2.0,0.0,1.0,2.0
204,19,7,양산,6.0,0.0,1.0,14.0,0.4
205,19,8,창원 합포,3.0,1.0,1.0,6.0,0.5714285714285714
206,19,9,부산 서구,3.0,0.0,0.0,5.0,0.6
207,19,10,부산 사하,9.0,0.0,1.0,12.0,0.6923076923076923
208,19,11,부산 남구,5.0,0.0,1.0,13.0,0.35714285714285715
209,20,1,함평,0.0,0.0,0.0,0.0,0.0
210,20,2,담양,0.0,0.0,0.0,1.0,0.0
211,20,3,순창,1.0,0.0,0.0,1.0,1.0
212,20,4,구례,0.0,0.0,0.0,0.0,0.0
213,20,5,하동,1.0,0.0,0.0,0.0,1.0
214,20,6,창원 의창,5.0,1.0,1.0,10.0,0.5454545454545454
215,20,7,창원 성산,7.0,4.0,1.0,12.0,0.8461538461538461
216,20,8,창원 진해,2.0,1.0,0.0,5.0,0.6
217,20,9,김해,11.0,0.0,2.0,27.0,0.3793103448275862
218,20,10,부산 영도,0.0,0.0,0.0,3.0,0.0
219,20,11,부산 수영,7.0,1.0,0.0,6.0,1.3333333333333333
220,21,0,신안,0.0,0.0,0.0,0.0,0.0
221,21,1,무안,0.0,0.0,1.0,3.0,0.0
222,21,2,광주 광산,16.0,0.0,2.0,18.0,0.8
223,21,3,곡성,0.0,0.0,0.0,1.0,0.0
224,21,4,화순,0.0,0.0,0.0,0.0,0.0
225,21,5,광양,2.0,0.0,1.0,9.0,0.2
226,21,6,사천,2.0,0.0,0.0,3.0,0.6666666666666666
227,21,7,창원 회원,4.0,0.0,0.0,4.0,1.0
228,21,8,통영,2.0,1.0,3.0,1.0,0.75
229,22,0,목포,5.0,0.0,5.0,10.0,0.3333333333333333
230,22,1,나주,1.0,0.0,0.0,5.0,0.2
231,22,2,광주 서구,15.0,1.0,2.0,10.0,1.3333333333333333
232,22,3,광주 북구,14.0,0.0,2.0,10.0,1.1666666666666667
233,22,4,순천,5.0,0.0,1.0,17.0,0.2777777777777778
234,22,5,고흥,0.0,0.0,0.0,3.0,0.0
235,22,6,남해,0.0,0.0,0.0,1.0,0.0
236,22,7,고성(경남),0.0,0.0,2.0,1.0,0.0
237,22,8,거제,5.0,0.0,0.0,7.0,0.7142857142857143
238,23,0,해남,0.0,1.0,0.0,2.0,0.5
239,23,1,영암,0.0,0.0,0.0,1.0,0.0
240,23,2,광주 남구,11.0,2.0,1.0,6.0,1.8571428571428572
241,23,3,광주 동구,9.0,1.0,4.0,4.0,1.25
242,23,4,여수,8.0,1.0,2.0,17.0,0.47368421052631576
243,24,0,진도,0.0,0.0,0.0,1.0,0.0
244,24,1,강진,0.0,0.0,0.0,1.0,0.0
245,24,2,장흥,0.0,0.0,0.0,0.0,0.0
246,24,3,보성,0.0,0.0,0.0,0.0,0.0
247,25,2,완도,0.0,0.0,0.0,1.0,0.0
248,25,5,제주,13.0,0.0,4.0,6.0,1.3
249,26,5,서귀포,12.0,0.0,5.0,7.0,1.0
